,title,date,result,explain,tag
82,成都每户家庭每两天只可安排一人外出买东西,2020-02-09,假,谣言,"['成都', '社区管理']"
83,哈尔滨市坐公交得出示身份证,2020-02-09,假,谣言,"['哈尔滨', '坐公交']"
84, 澳洲华人捐赠的物资“乘专机”返华,2020-02-09,假,谣言,"['澳洲', '肯尼亚']"
85,南京市乘坐公共交通工具要带身份证,2020-02-09,假,谣言,"['公共交通', '身份证']"
86,南京全市主干道今晚12点进行大面积消杀,2020-02-09,假,谣言,"['南京', '传染病']"
87,口罩放到玻璃瓶里用开水煮十分钟消毒后可以反复使用,2020-02-08,假,伪科学,"['口罩', '消毒方法']"
88,对口罩喷酒精消毒后可以反复使用,2020-02-08,疑,有失实,"['口罩', '喷洒酒精']"
89,抗生素能有效预防和治疗新型冠状病毒,2020-02-09,假,谣言,"['新型冠状病毒', '抗生素']"
90,无症状患者也可以传播新型冠状病毒,2020-02-09,真,确实如此,"['新型冠状病毒', '传染病']"
91,新冠病毒欺骗性强，治疗时表面转阴，但不产生抗体,2020-02-08,假,伪科学,"['新型冠状病毒', '核酸检测']"
92,上海主干道今晚12点大面积消毒，10点后不要出门,2020-02-08,假,谣言,"['上海', '消毒']"
93,用吹风机最高档吹口罩30分钟可以消毒,2020-02-08,假,伪科学,"['口罩', '吹风机']"
94,春节假期再次延长至2月20日,2020-02-08,假,谣言,"['春节', '假期延长']"
95,钟南山推荐的防疫凉茶能预防新型冠状病毒,2020-02-08,假,谣言,"['钟南山', '中药']"
96,复方甲酚皂能杀死新冠肺炎病毒,2020-02-08,假,伪科学,"['复方甲酚皂', '新冠病毒']"
97,白酒放冰箱冷冻室能制作75%的酒精,2020-02-08,假,谣言,"['白酒', '冰箱']"
98,钟南山：已经挺过一个14天，7号开始第二个14天,2020-02-07,假,谣言,"['钟南山', '新型冠状病毒']"
99,穿山甲是新型冠状病毒的中间宿主,2020-02-07,疑,尚无定论,"['穿山甲', '新型冠状病毒']"
100,季铵盐类消毒剂苯扎氯铵(洁尔灭）能灭活新冠病毒,2020-02-07,假,伪科学,"['新型冠状病毒', '消毒剂']"
101,武汉古田四路佳兴园，酒精全屋消毒后开空调引起爆炸,2020-02-07,假,谣言,"['武汉', '火灾']"
102,二氧化氯稀释后放进加湿器，可以有效预防新冠肺炎,2020-02-07,疑,有失实,"['二氧化氯', '加湿器']"
103,中国政府为控制疫情要杀2万人,2020-02-07,假,谣言,"['新型冠状病毒', '传染病']"
104,“猪场同款”消毒通道，可以有效预防新型冠状病毒,2020-02-07,假,谣言,"['重庆', '消毒通道']"
105,瑞德西韦的副作用比化疗严重，杀敌八百自损一千,2020-02-08,假,伪科学,"['瑞德西韦', '新型冠状病毒']"
106,电吹风强档对面罩、面部和手部吹30秒就能消毒,2020-02-07,假,谣言,"['肺炎', '新型冠状病毒']"
107,气溶胶传播恐怖，不和患者见面吸入空气中病毒就感染,2020-02-07,疑,有失实,"['新型冠状病毒', '气溶胶']"
108,口罩嘴巴处垫一张对折纸巾，可以延迟口罩的使用时间,2020-02-07,假,谣言,"['口罩', '卫生纸巾']"
109,已找到破解病毒的离子技术，自制铜甘斯水可预防病毒,2020-02-07,假,伪科学,"['铜甘斯水', '食盐水']"
110,吃水果蔬菜会感染新型冠状病毒,2020-02-07,假,谣言,"['新型冠状病毒', '水果']"
111,收快递、外卖会感染新型冠状病毒,2020-02-07,疑,有失实,"['快递', '外卖']"
112,哈佛医学院为李文亮医生降半旗致哀,2020-02-07,假,谣言,"['李文亮', '哈佛医学院']"
113,顺丰、邮政、京东快递2月7日起停运,2020-02-07,假,谣言,"['快递', '顺丰']"
114,自来水采用上限标准加氯消毒，用水时最少静置两小时,2020-02-07,假,谣言,"['自来水', '氯气']"
115,开窗通风会把病毒带进家，引发新冠肺炎,2020-02-07,假,谣言,"['新型冠状病毒', '肺炎']"
116,瑞德西韦生效，17-40小时病人好转90%以上,2020-02-06,假,谣言,"['瑞德西韦', '新型冠状病毒肺炎']"
117,长沙市天心区一失足女确诊感染病毒，并接触9人,2020-02-06,假,谣言,"['新型冠状病毒', '长沙']"
118,卫生巾作口罩用，或将卫生巾贴在口罩外可以防病毒,2020-02-06,假,谣言,"['新型冠状病毒', '卫生巾']"
119,武汉火神山医院是日本人设计的,2020-02-06,假,谣言,"['火神山医院', '日本']"
120,吃槟榔可以预防新型冠状病毒感染,2020-02-06,假,谣言,"['新型冠状病毒', '槟榔']"
121,大量喝水能预防新型冠状病毒感染,2020-02-06,假,伪科学,"['新型冠状病毒', '传染病']"
122,吸入病毒携带者的二手烟可能会感染新型冠状病毒,2020-02-06,真,确实如此,"['新型冠状病毒', '传染病']"
123,母猪开口说话，说吃煮鸡蛋能预防疫情,2020-02-06,假,谣言,"['新型冠状病毒', '猪']"
124,2月6日起宁波将封城,2020-02-06,假,谣言,"['新型冠状病毒', '宁波']"
125,纸尿裤材料被征用去做口罩，很多纸尿裤厂家已停产,2020-02-05,假,谣言,"['口罩', '纸尿裤']"
126,红糖、生姜、大葱白和大蒜熬水喝，不会感染新冠病毒,2020-02-05,假,谣言,"['红糖', '生姜']"
127,防溢乳垫贴在非医用一次性口罩上能过滤病毒,2020-02-05,假,谣言,"['防溢乳垫贴', '口罩']"
128,预防肺炎的疫苗能防止新型冠状病毒感染,2020-02-05,假,谣言,"['新型冠状病毒', '肺炎']"
129,美国选择货机撤侨，是给中国送防疫物资,2020-02-05,假,谣言,"['美国', '撤侨']"
130,美国医生援助中国前集体祷告,2020-02-05,假,谣言,"['新型冠状病毒', '美国']"
131,新风系统会传播病毒，导致感染新型冠状病毒肺炎,2020-02-05,假,谣言,"['新型冠状病毒', '新风系统']"
132,湖北仙桃开来的轿车上有人被测出高温后逃跑,2020-02-05,假,谣言,"['湖北', '新塘']"
133,适量饮酒可以抵抗新型冠状病毒,2020-02-05,假,谣言,"['饮酒', '新型冠状病毒']"
134,口罩接水不渗水，说明能抵抗新型冠状病毒肺炎,2020-02-04,假,谣言,"['口罩', '新型冠状病毒肺炎']"
135,周边部队开始集结10号疫情不好转，解放军接管武汉,2020-02-04,假,谣言,"['武汉', '解放军']"
136,三天后武汉所有超市、药店关门,2020-02-04,假,谣言,"['武汉', '超市']"
137,使用酒精消毒，别往空气中喷，也别随便往自己身上喷,2020-02-04,真,确实如此,"['酒精', '火灾']"
138,有证据认为蚊子苍蝇可以传播新型冠状病毒,2020-02-04,假,谣言,"['蚊子', '苍蝇']"
139,钟南山院士在机场亲自迎接吉利德公司老总,2020-02-04,假,谣言,"['钟南山', '吉利德公司']"
140,楼上扔烟头，楼下正在酒精消毒，导致火灾,2020-02-04,假,谣言,"['烟头', '酒精']"
141,03年香港淘大花园42人感染非典因下水道传播病毒,2020-02-04,疑,尚无定论,"['非典', '香港']"
142,下水道有传染新型冠状病毒风险,2020-02-04,疑,尚无定论,"['新型冠状病毒', '粪便']"
143,消毒时，84消毒液与酒精不可混用，会产生氯气,2020-02-04,疑,有失实,"['84消毒液', '酒精']"
144,别迷信核酸检测，应用CT影像作为新冠肺炎确诊标准,2020-02-04,疑,存在争议,"['核酸检测', 'CT']"
145,出门回来后，一定要对鞋喷洒消毒水或把鞋放在门外,2020-02-04,疑,有失实,"['鞋', '消毒水']"
146,养宠物的家庭不会感染新型冠状病毒,2020-02-04,假,谣言,"['宠物', '新型冠状病毒']"
147,别吃淡水鱼！确认粪口传播，很多地方在鱼塘洗便桶,2020-02-04,假,谣言,"['淡水鱼', '粪口传播']"
148,高温能杀病毒，让病人发烧到39.6度以上就能痊愈,2020-02-04,假,谣言,"['发烧', '新型冠状病毒']"
149,蝙蝠最怕高温，请把喝的开水滚开的汽吸下去，能解毒,2020-02-04,假,谣言,"['水蒸气', '蝙蝠']"
150,天津一男子喷酒精消毒后开车抽烟引发燃烧,2020-02-04,假,谣言,"['天津', '酒精']"
151,定期用生理盐水清洗鼻子可以预防新型冠状病毒,2020-02-04,假,伪科学,"['新型冠状病毒', '生理盐水']"
152,2月3日起北京1000个药房每天投放300万口罩,2020-02-03,假,谣言,"['口罩', '北京']"
153,2月4日成都市民可在天府市民云APP预约领取口罩,2020-02-03,假,谣言,"['新型冠状病毒', '口罩']"
154,李兰娟院士说谈恋爱可以预防新型冠状病毒肺炎,2020-02-03,假,谣言,"['新型冠状病毒', '李兰娟']"
155,把饭做熟病毒就会被杀死,2020-02-03,真,确实如此,"['熟食', '病毒']"
156,老盛昌包子铺老板确诊新型冠状病毒被送医院,2020-02-03,假,谣言,"['新型冠状病毒', '新冠病毒']"
157,2月4日起，福州将实施预约摇号购买口罩,2020-02-03,假,谣言,"['口罩', '福州']"
158,市面上常见的X露XX士消毒液可以消灭新型冠状病毒,2020-02-03,疑,尚无定论,"['消毒液', '新型冠状病毒']"
159,中央空调存在传播新型冠状病毒的可能性,2020-02-03,真,确实如此,"['空调', '新型冠状病毒']"
160,喷洒环保酵素可以杀毒抑菌,2020-02-03,假,伪科学,"['酵素', '病毒']"
161,泰国找到了新型冠状病毒特效药,2020-02-03,疑,尚无定论,"['新型冠状病毒', '泰国']"
162,新型冠状病毒插入的基因片段是精心选择，是人工病毒,2020-02-03,假,谣言,"['新型冠状病毒', '基因']"
163,特朗普同意将新冠肺炎潜在有效药瑞德西韦专利豁免,2020-02-03,假,谣言,"['瑞德西韦', '专利']"
164,国务院通知任何平台不得销售口罩,2020-02-03,假,谣言,"['新型冠状病毒', '口罩']"
165,2月3日开始，上海市各医院实名制进院，包括家属,2020-02-03,假,谣言,"['上海', '实名制']"
166,24℃下，新型冠状病毒在痰尿等物体上能存活好几天,2020-02-02,疑,尚无定论,"['新型冠状病毒', '传染病']"
167,震惊哈佛大学教授：新型冠状病毒诞生于人为基因改造,2020-02-02,假,谣言,"['新型冠状病毒', '基因改造']"
168,上海一居民家爆炸，因女的烧菜，男的做家务喷洒酒精,2020-02-02,假,谣言,"['上海', '爆炸']"
169,直升飞机冲破封锁线，电影一样，直达武汉,2020-02-02,假,谣言,"['直升机', '武汉']"
170,乳酸菌素片可以治疗新型冠状病毒肺炎,2020-02-02,假,谣言,"['乳酸菌素', '新型冠状病毒']"
171,新型冠状病毒感染者粪便里检测出核酸阳性 ,2020-02-02,真,确有此事,"['新型冠状病毒', '感染者']"
172,戴过的口罩放进烤箱，60℃烤30分钟，可以反复用,2020-02-01,疑,尚无定论,"['口罩', '烤箱']"
173,中央决定暂免武汉红十字会救灾物资管理工作,2020-02-01,假,谣言,['']
174,鱼腥草可以预防新型冠状病毒,2020-02-01,假,谣言,"['鱼腥草', '新型冠状病毒']"
175,童子尿可以预防新型冠状病毒,2020-02-01,假,谣言,"['童子尿', '新型冠状病毒']"
176,德国采用雾化手段治愈4例新冠肺炎患者,2020-02-01,假,谣言,"['德国', '雾化治疗']"
177,金银花和绿茶能防控新冠病毒感染,2020-02-01,假,谣言,"['金银花', '绿茶']"
178,remdesivir可治疗新型冠状病毒肺炎,2020-02-01,疑,尚无定论,"['新型冠状病毒', 'remdesivir']"
179,国家一级响应：出租房2月免租，3、4月份免租半月,2020-02-01,疑,有失实,"['免租', '房东']"
180,中成药双黄连口服液可抑制新型冠状病毒,2020-02-01,疑,尚无定论,"['冠状病毒', '新型冠状病毒']"
181,口含姜片出门可以预防新型冠状病毒肺炎,2020-02-01,假,谣言,"['新型冠状病毒', '生姜']"
182,挂烫机喷出的蒸汽可用于衣物消毒杀菌,2020-02-01,假,谣言,['']
183,中草药洗液“洁尔阴”预防非典是良方,2020-02-01,疑,尚无定论,"['SARS', '非典']"
184,藿香正气药物可治疗新型冠状病毒肺炎,2020-02-01,疑,尚无定论,"['新型冠状病毒', '藿香正气']"
185,WHO认为：目前还没有专门预防治疗新冠病毒的药物,2020-02-01,真,确实如此,"['新型冠状病毒', '药物']"
186,双黄连口服液可抑制新型冠状病毒,2020-02-01,疑,尚无定论,"['双黄连口服液', '新型冠状病毒']"
187,吃阿奇霉素片可以预防新型冠状病毒,2020-01-31,假,谣言,"['新型冠状病毒', '抗生素']"
188,特殊时期多喝陈皮水，陈皮能预防和治疗新型冠状病毒,2020-01-31,假,谣言,"['陈皮', '新型冠状病毒']"
189,新型冠状病毒肺炎十大谣言榜,2020-01-31,真,确实如此,"['新型冠状病毒', '谣言']"
190,武汉大学省人民医院发热门诊可做核酸试验检测不排队,2020-01-31,假,谣言,"['新型冠状病毒肺炎', '核酸测试']"
191,眼神对视会传染新型冠状病毒,2020-01-31,假,谣言,"['新型冠状病毒', '传染病']"
192,用过的口罩放到消毒柜里消毒，可以继续防护新型肺炎,2020-01-31,假,伪科学,"['口罩', '消毒柜']"
193,别吃鱼肉，特别是草鱼做的酸菜鱼水煮鱼，会感染病毒,2020-01-31,假,谣言,"['草鱼', '鱼肉']"
194,广州市民30日晚8点可用“穗康”小程序预约买口罩,2020-01-31,真,确有此事,"['广州', '口罩']"
195,用浴霸灯照射半小时可以去除病毒,2020-01-31,疑,有失实,"['新型冠状病毒', '温度']"
196,吃糖会降低身体免疫力，导致易感染病毒,2020-01-31,疑,尚无定论,"['免疫力', '糖分']"
197,南京自来水采用上限标准加氯消毒,2020-01-31,假,谣言,"['自来水', '南京']"
198,苏州市立医院一产妇感染新型冠状病毒,2020-01-30,假,谣言,"['新型冠状病毒', '孕妇']"
199,新型冠状病毒会通过血液传播,2020-01-30,疑,尚无定论,"['新型冠状病毒', '血液']"
200,出现流鼻涕和咳痰，不可能是新型冠状病毒肺炎,2020-01-30,假,谣言,"['流鼻涕', '新型冠状病毒肺炎']"
201,武汉第九医院：疫情期间，不能外出散步，小心被传染,2020-01-30,假,谣言,"['新型冠状病毒肺炎', '散步']"
202,1月30日传拿介绍信可到武汉市红十字会领取物资,2020-01-30,假,谣言,"['新型冠状病毒', '肺炎']"
203,海关代表国家征收邮寄的口罩,2020-01-30,假,谣言,"['海关', '口罩']"
204,亚洲人更容易感染新型冠状病毒,2020-01-30,假,谣言,"['亚洲', '新型冠状病毒']"
205,口罩水蒸过晒干、喷酒精、紫外线灯照射后可以再用,2020-01-30,疑,有失实,"['口罩', '酒精']"
206,武汉红十字会售卖山东寿光捐赠的蔬菜,2020-01-30,假,谣言,"['慈善', '捐助']"
207,花露水酒精含量70-75%，能有效预防新冠病毒,2020-01-30,疑,有失实,"['花露水', '新型冠状病毒']"
208,用棉布、保鲜膜、纱布自制口罩，可预防新冠病毒感染,2020-01-30,疑,有失实,['']
209,玉屏风颗粒对新型肺炎有效,2020-01-30,疑,尚无定论,"['新型肺炎', '玉屏风']"
210,成都两名高度疑似感染者私自离开华西医院,2020-01-29,假,谣言,"['冠状病毒', '新型冠状病毒肺炎']"
211,万金油可以预防病毒,2020-01-30,假,伪科学,"['万金油', '病毒']"
212,1月29日知网可以免费下载论文,2020-01-29,假,谣言,"['知网', '论文']"
213,一个武汉女人终结了法国大罢工，法国人都去抢口罩了,2020-01-29,假,谣言,"['法国大罢工', '武汉']"
214,不要穿毛衣或带毛领、绒线的衣服外套，容易吸附病毒,2020-01-29,疑,分情况,"['毛衣', '新冠肺炎病毒']"
215,武大人民医院医生提醒：29、30号两天是爆发期,2020-01-29,假,谣言,['']
216,接触沾染了病毒的物品属于接触传播，也可能感染病毒,2020-01-29,真,确实如此,"['接触传播', '新型冠状病毒']"
217,咳嗽药水“沐舒坦”能治疗新冠肺炎,2020-01-29,疑,尚无定论,"['沐舒坦', '新型冠状病毒']"
218,握手、拥抱也可能传播新型冠状肺炎病毒,2020-01-29,真,确实如此,"['握手', '拥抱']"
219,大蒜和冰糖一起煮水喝可以预防治疗新型冠状肺炎,2020-01-29,假,谣言,"['大蒜', '冰糖']"
220,1月29日成都封城，出城高速封闭,2020-01-29,假,谣言,"['成都', '封城']"
221,白藜芦醇可以治疗预防新型冠状病毒,2020-01-29,假,谣言,"['白藜芦醇', '新型冠状病毒']"
222,28日黑龙江高速因抗击新冠肺炎疫情大范围封闭,2020-01-29,假,谣言,"['黑龙江', '高速封路']"
223,喷嚏可打8米远，病毒可悬浮24小时,2020-01-28,疑,尚无定论,"['病毒', '打喷嚏']"
224,北京超市、菜市场要关门一周,2020-01-28,假,谣言,"['北京', '超市']"
225,日本派遣1000人医疗队前往武汉,2020-01-28,假,谣言,"['武汉', '日本']"
226,新型冠状病毒在2018年就被发现了,2020-01-28,假,谣言,['新型冠状病毒']
227,新型冠状病毒会通过现金纸币传播，外出不要收现金,2020-01-28,疑,有失实,"['新型冠状病毒', '现金']"
228,多洗热水澡可以预防新型冠状病毒肺炎,2020-01-28,假,伪科学,"['新型冠状病毒肺炎', '热水澡']"
229,海鲜会传染新型冠状病毒,2020-01-28,假,谣言,"['新型冠状病毒', '海鲜']"
230,医用紫外线灯能消灭新型冠状病毒,2020-01-28,真,确实如此,"['紫外线灯', '新型冠状病毒']"
231,95%的酒精比75%的酒精消毒效果更好,2020-01-28,假,伪科学,"['酒精', '新型冠状病毒']"
232,病毒喜欢0度湿冷环境，空调开到20度就死亡,2020-01-28,假,伪科学,"['新型冠状病毒', '空调']"
233,用了7天的N95口罩用吹风机吹或酒精消毒可继续用,2020-01-28,假,伪科学,"['N95口罩', '口罩']"
234,用高浓度白酒喷洒房间可以预防新型冠状病毒,2020-01-28,假,伪科学,"['白酒', '酒精']"
235,非典是美国专门针对中国的生物战，是种族灭绝计划,2020-01-27,假,谣言,"['非典', '美国']"
236,喝红酒能抵抗新型冠状病毒，延缓病情发展,2020-01-27,假,伪科学,"['新型冠状病毒', '红酒']"
237,新型冠状病毒已经混合在空气里，一旦呼吸就会致病,2020-01-27,假,谣言,"['病毒', '新型冠状病毒']"
238,多喝60度的开水能预防新型肺炎,2020-01-27,假,谣言,"['消毒', '病毒']"
239,二氧化氯消毒剂可以用于消毒,2020-01-27,真,确实如此,"['消毒', '病毒']"
240,花菇中的多糖能增强人体免疫力，对抗新型冠状病毒,2020-01-27,假,伪科学,"['新型冠状病毒', '花菇']"
241,浙江27日起高速封路,2020-01-27,假,谣言,"['浙江', '高速']"
242,成都因新型冠状病毒肺炎调整公交线路营运安排,2020-01-27,假,谣言,"['成都', '公交']"
243,阿司匹林能有效延缓新冠肺炎病情,2020-01-27,假,伪科学,"['新型冠状病毒', '阿司匹林']"
244,将有6万武汉人员从境外来杭,2020-01-27,假,谣言,"['武汉', '杭州']"
245,南京要封城停公交出租,2020-01-26,假,谣言,['']
246,乳铁蛋白能预防新型冠状病毒,2020-01-26,假,伪科学,"['乳铁蛋白', '新型冠状病毒']"
247,广州要封城,2020-01-26,假,谣言,"['广州', '封城']"
